2026-06-01 18:28:05,062 | DEBUG    | client.py:159 | RESP 200  body={"orderId":13697392434,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"wBzTdZVEun99t7clw4LFvy","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780318684952}
2026-06-01 18:28:05,064 | INFO     | orders.py:136 | Order success — ID: 13697392434, Status: NEW
2026-06-01 18:28:20,795 | INFO     | orders.py:62 | ✓ All inputs validated successfully.
2026-06-01 18:28:20,795 | DEBUG    | orders.py:92 | Dispatching LIMIT BUY for 0.001000 BTCUSDT
2026-06-01 18:28:20,795 | INFO     | client.py:223 | Placing LIMIT BUY order for 0.001 BTCUSDT …
2026-06-01 18:28:21,205 | DEBUG    | client.py:149 | REQ  POST https://demo-fapi.binance.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.001', 'price': '50000.0', 'timeInForce': 'GTC', 'timestamp': 1780318701088, 'signature': '***'}
2026-06-01 18:28:21,743 | DEBUG    | client.py:159 | RESP 200  body={"orderId":13697407191,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"S9FoKzFFyQ6bRKn8KKOsu8","price":"50000.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780318701571}
2026-06-01 18:28:21,747 | INFO     | orders.py:136 | Order success — ID: 13697407191, Status: NEW
2026-06-01 18:40:19,095 | INFO     | orders.py:62 | ✓ All inputs validated successfully.
2026-06-01 18:40:19,096 | DEBUG    | orders.py:92 | Dispatching MARKET BUY for 0.001000 BTCUSDT
2026-06-01 18:40:19,096 | INFO     | client.py:223 | Placing MARKET BUY order for 0.001 BTCUSDT …
2026-06-01 18:40:19,689 | DEBUG    | client.py:149 | REQ  POST https://demo-fapi.binance.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1780319419502, 'signature': '***'}
2026-06-01 18:40:20,299 | DEBUG    | client.py:159 | RESP 200  body={"orderId":13698272828,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"mHb6B7WBaL30HpSPhllpBT","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1780319420114}
2026-06-01 18:40:20,301 | INFO     | orders.py:136 | Order success — ID: 13698272828, Status: NEW
